Segment	Chr	StartMB	StopMB	Length	N_SNP	StartSNP	StopSNP
1	1	0.082	121.349	121.267	44743	rs4477212	rs1851250
2	1	142.693	249.219	106.526	38983	rs75313644	rs12746903
3	2	0.019	90.240	90.222	34464	rs10195681	rs13003799
4	2	95.329	243.049	147.719	47975	rs10210207	rs12478296
5	3	0.061	90.494	90.432	34455	rs13060385	rs11711280
6	3	93.537	197.838	104.301	33279	rs9681884	rs10433653
7	4	0.060	49.651	49.591	16839	i6022724	rs10452347
8	4	52.684	190.964	138.280	41974	rs1910739	rs3903261
9	5	0.028	46.399	46.372	15986	rs2135917	rs7293455
10	5	49.457	180.697	131.240	43541	rs8188203	rs6894609
11	6	0.156	58.771	58.615	32425	rs7774353	rs6928497
12	6	61.891	170.919	109.028	37274	rs4502981	rs12530134
13	7	0.045	58.019	57.974	23799	rs7456436	rs8185482
14	7	61.074	159.119	98.045	32481	rs9314244	rs1124425
15	8	0.165	43.792	43.627	20437	rs11780869	rs10958798
16	8	46.887	146.296	99.410	31465	rs11993658	rs10107337
17	9	0.047	40.784	40.738	18276	rs10814410	rs4339692
18	9	65.620	141.066	75.446	27315	rs4878855	rs9314655
19	10	0.094	39.098	39.004	17142	i6041973	rs7089520
20	10	42.436	135.523	93.087	35827	rs10909011	rs9665515
21	11	0.194	51.582	51.388	21159	i6027078	rs12365821
22	11	54.738	134.940	80.202	31214	rs138860906	rs11224228
23	12	0.192	34.853	34.661	15353	rs11063263	rs12315121
24	12	37.866	133.838	95.973	35211	rs7308183	rs146464797
25	13	19.059	115.104	96.045	38793	rs2762261	rs17067959
26	14	19.067	107.288	88.221	32971	rs143316533	rs10149476
27	15	20.035	102.461	82.426	31399	i5900373	rs4098905
28	16	0.088	35.286	35.197	14146	rs2541696	rs28973178
29	16	46.450	90.163	43.713	18992	rs13332184	rs4785775
30	17	0.001	22.242	22.241	9254	rs62053747	rs2176134
31	17	25.295	81.051	55.756	22017	rs3932342	rs7502442
32	18	0.011	15.376	15.365	6472	rs7241374	rs11080827
33	18	18.529	78.015	59.486	22879	rs140699989	rs12960632
34	19	0.261	24.629	24.368	9859	rs8100066	rs4516355
35	19	27.763	59.097	31.334	12920	rs12981140	rs10411093
36	20	0.063	26.309	26.246	11865	rs6139074	rs2211139
37	20	29.446	62.960	33.515	13469	rs2180584	rs11698187
38	21	14.368	48.100	33.732	14348	rs9977849	rs10483083
39	22	16.055	51.214	35.159	15530	rs117246541	i6050157
